last_name, first_name,year,p_formatted_ip,p_total_hits,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,p_earned_run,p_run,p_balk,
Stroman, Marcus,2017,201.0,201,164,62,19.7,7.4,.264,.392,.323,.128,69,82,1,
Scherzer, Max,2017,200.2,126,268,55,34.4,7.1,.178,.319,.246,.141,56,62,0,
Samardzija, Jeff,2017,207.2,204,205,32,24.2,3.8,.255,.447,.286,.192,102,107,0,
Sale, Chris,2017,214.1,165,308,43,36.2,5.1,.208,.349,.254,.141,69,73,0,
Roark, Tanner,2017,181.1,178,166,64,21.4,8.2,.254,.408,.320,.154,94,105,1,
Lynn, Lance,2017,186.1,151,153,78,19.7,10.1,.223,.395,.308,.172,71,80,0,
Lackey, John,2017,170.2,165,149,53,20.4,7.3,.252,.469,.315,.217,87,93,2,
Estrada, Marco,2017,186.0,186,176,71,21.8,8.8,.256,.463,.321,.207,103,104,0,
Wacha, Michael,2017,165.2,170,158,55,22.5,7.8,.267,.409,.325,.142,76,82,0,
Quintana, Jose,2017,188.2,170,207,61,26.2,7.7,.238,.396,.305,.158,87,92,1,
Moore, Matt,2017,174.1,200,148,67,18.7,8.5,.283,.486,.347,.203,107,116,0,
Martinez, Carlos,2017,205.0,179,217,71,25.3,8.3,.232,.391,.301,.159,83,93,0,
Greinke, Zack,2017,202.1,172,215,45,26.8,5.6,.230,.387,.271,.157,72,80,0,
Gausman, Kevin,2017,186.2,208,179,71,21.9,8.7,.283,.459,.348,.176,97,99,1,
Fulmer, Michael,2017,164.2,150,114,40,16.9,5.9,.243,.350,.293,.107,70,80,1,
deGrom, Jacob,2017,201.1,180,239,59,28.9,7.1,.237,.389,.291,.152,79,87,0,
Verlander, Justin,2017,206.0,170,219,72,25.8,8.5,.221,.370,.290,.149,77,80,0,
Richard, Clayton,2017,197.1,240,151,59,17.6,6.9,.308,.482,.358,.174,105,114,1,
Nolasco, Ricky,2017,181.0,205,143,58,18.2,7.4,.286,.508,.338,.222,99,102,0,
Darvish, Yu,2017,186.2,159,209,58,27.3,7.6,.228,.397,.291,.169,80,83,1,
Blach, Ty,2017,163.2,179,73,43,10.5,6.2,.283,.439,.322,.156,87,91,0,
Vargas, Jason,2017,179.2,181,134,58,17.7,7.7,.264,.442,.323,.178,83,84,1,
Pomeranz, Drew,2017,173.2,166,174,69,23.5,9.3,.252,.388,.323,.136,64,69,0,
Perdomo, Luis,2017,163.2,182,118,65,16.5,9.1,.285,.426,.356,.141,85,97,2,
Nola, Aaron,2017,168.0,154,184,49,26.6,7.1,.241,.383,.296,.142,66,67,0,
Lester, Jon,2017,180.2,179,180,60,23.6,7.9,.259,.430,.318,.171,87,101,0,
Hellickson, Jeremy,2017,164.0,160,96,47,13.8,6.8,.255,.497,.309,.242,99,105,1,
Bundy, Dylan,2017,169.2,152,152,51,21.8,7.3,.240,.420,.301,.180,80,82,0,
Strasburg, Stephen,2017,175.1,131,204,47,29.1,6.7,.204,.317,.264,.113,49,55,0,
Straily, Dan,2017,181.2,176,170,60,22.1,7.8,.256,.466,.313,.210,86,90,0,
Hammel, Jason,2017,180.1,209,145,48,18.0,6.0,.284,.442,.331,.158,106,109,1,
Cole, Gerrit,2017,203.0,199,196,55,23.1,6.5,.254,.434,.304,.180,96,98,0,
Cashner, Andrew,2017,166.2,156,86,64,12.2,9.1,.250,.365,.325,.115,63,75,1,
Carrasco, Carlos,2017,200.0,173,226,46,28.3,5.8,.235,.386,.287,.151,73,73,0,
Urena, Jose,2017,169.2,152,113,64,15.6,8.8,.238,.415,.318,.177,72,77,1,
Teheran, Julio,2017,188.1,186,151,72,18.6,8.9,.257,.443,.326,.186,94,103,0,
Tanaka, Masahiro,2017,178.1,180,194,41,25.8,5.5,.257,.467,.303,.210,94,100,0,
Porcello, Rick,2017,203.1,236,181,48,20.5,5.4,.286,.498,.328,.212,105,125,0,
Nelson, Jimmy,2017,175.1,171,199,48,27.3,6.6,.257,.374,.313,.117,68,75,1,
Leake, Mike,2017,186.0,201,130,37,16.6,4.7,.278,.424,.316,.146,81,93,0,
Corbin, Patrick,2017,189.2,208,178,61,21.5,7.4,.276,.461,.329,.185,85,97,0,
Cobb, Alex,2017,179.1,175,128,44,17.3,5.9,.254,.405,.303,.151,73,78,1,
Bauer, Trevor,2017,176.1,181,196,60,26.2,8.0,.266,.446,.328,.180,82,84,1,
Arrieta, Jake,2017,168.1,150,163,55,23.1,7.8,.235,.411,.304,.176,66,82,0,
Santana, Ervin,2017,211.1,177,167,61,19.3,7.1,.225,.392,.285,.167,77,85,1,
Marquez, German,2017,162.0,174,147,49,21.0,7.0,.274,.473,.330,.199,79,82,0,
Kluber, Corey,2017,203.2,141,265,36,34.1,4.6,.193,.321,.234,.128,51,56,0,
Gonzalez, Gio,2017,201.0,158,188,79,22.7,9.6,.216,.345,.295,.129,66,69,0,
Davies, Zach,2017,191.1,204,124,55,15.2,6.7,.275,.424,.328,.149,83,90,0,
Severino, Luis,2017,193.1,150,230,51,29.4,6.5,.208,.338,.264,.130,64,73,0,
Ray, Robbie,2017,162.0,116,218,71,32.8,10.7,.199,.356,.289,.157,52,57,0,
Perez, Martin,2017,185.0,221,115,63,14.2,7.8,.301,.453,.358,.152,99,108,0,
Nova, Ivan,2017,187.0,203,131,36,16.7,4.6,.277,.464,.313,.187,86,96,0,
Kershaw, Clayton,2017,175.0,136,202,30,29.7,4.4,.212,.357,.244,.145,45,49,2,
Gray, Sonny,2017,162.1,139,153,57,22.6,8.4,.226,.374,.294,.148,64,79,0,
Dickey, R.A.,2017,190.0,193,136,67,16.7,8.2,.266,.450,.331,.184,90,99,2,
Chacin, Jhoulys,2017,180.1,157,153,72,20.0,9.4,.235,.373,.318,.138,78,82,1,
Archer, Chris,2017,201.0,193,249,60,29.2,7.0,.246,.407,.303,.161,91,101,0,
Wood, Alex,2014,171.2,151,170,45,24.5,6.5,.239,.357,.291,.118,53,58,0,
Chen, Wei-Yin,2014,185.2,193,136,35,17.6,4.5,.266,.426,.299,.160,73,77,0,
Elias, Roenis,2014,163.2,151,143,64,20.6,9.2,.248,.385,.326,.137,70,77,4,
Keuchel, Dallas,2014,200.0,187,146,48,18.1,5.9,.252,.353,.300,.101,65,71,0,
Richards, Garrett,2014,168.2,124,164,51,24.2,7.5,.201,.261,.268,.060,49,51,1,
Miller, Shelby,2014,183.0,160,127,73,16.6,9.6,.236,.388,.308,.152,76,78,0,
Hutchison, Drew,2014,184.2,173,184,60,23.4,7.6,.245,.416,.305,.171,92,92,2,
Ventura, Yordano,2014,183.0,168,159,69,20.3,8.8,.240,.358,.309,.118,65,70,1,
Wheeler, Zack,2014,185.1,167,187,79,23.6,9.9,.240,.352,.324,.112,73,84,0,
Iwakuma, Hisashi,2014,179.0,167,154,21,21.7,3.0,.244,.374,.268,.130,70,70,0,
Strasburg, Stephen,2014,215.0,198,242,43,27.9,5.0,.245,.385,.283,.140,75,86,0,
Roark, Tanner,2014,198.2,178,138,39,17.3,4.9,.239,.351,.279,.112,63,64,0,
Odorizzi, Jake,2014,168.0,156,174,59,24.2,8.2,.242,.385,.306,.143,77,79,0,
Koehler, Tom,2014,191.1,177,153,71,19.1,8.8,.248,.371,.318,.123,81,84,0,
Gray, Sonny,2014,219.0,187,183,74,20.4,8.2,.232,.327,.298,.095,75,84,0,
Eovaldi, Nathan,2014,199.2,223,142,43,16.6,5.0,.282,.409,.320,.127,97,107,0,
Cosart, Jarred,2014,180.1,173,115,73,15.0,9.5,.255,.345,.325,.090,74,80,0,
Teheran, Julio,2014,221.0,188,186,51,21.0,5.8,.232,.360,.275,.128,71,82,1,
Zimmermann, Jordan,2014,199.2,185,182,29,22.8,3.6,.244,.354,.275,.110,59,67,0,
Sale, Chris,2014,174.0,129,208,39,30.4,5.7,.205,.305,.261,.100,42,48,0,
Porcello, Rick,2014,204.2,211,129,41,15.4,4.9,.268,.406,.305,.138,78,89,0,
Collmenter, Josh,2014,179.1,163,115,39,16.0,5.4,.246,.386,.287,.140,69,75,0,
Bumgarner, Madison,2014,217.1,194,219,43,25.1,4.9,.240,.372,.278,.132,72,81,1,
Alvarez III, Henderson,2014,187.0,198,111,33,14.4,4.3,.275,.385,.310,.110,55,65,0,
Peralta, Wily,2014,198.2,198,154,61,18.4,7.3,.261,.393,.317,.132,78,88,0,
Leake, Mike,2014,214.1,217,164,50,18.2,5.5,.263,.417,.310,.154,88,93,0,
Samardzija, Jeff,2014,219.2,191,202,43,23.0,4.9,.234,.367,.278,.133,73,86,0,
Cobb, Alex,2014,166.1,142,149,47,21.9,6.9,.231,.325,.292,.094,53,56,0,
Gibson, Kyle,2014,179.1,178,107,57,14.1,7.5,.258,.365,.313,.107,89,91,0,
Archer, Chris,2014,194.2,177,173,72,21.0,8.8,.243,.336,.313,.093,72,85,0,
Norris, Bud,2014,165.1,149,139,52,20.2,7.6,.242,.396,.313,.154,67,68,0,
Tillman, Chris,2014,207.1,189,150,66,17.2,7.6,.238,.373,.297,.135,77,83,0,
Quintana, Jose,2014,200.1,197,178,52,21.4,6.3,.257,.358,.302,.101,74,87,0,
Kuroda, Hiroki,2014,199.0,191,146,35,17.8,4.3,.249,.382,.284,.133,82,91,0,
Garza, Matt,2014,163.1,143,126,50,18.5,7.4,.233,.351,.290,.118,66,77,1,
Miley, Wade,2014,201.1,207,183,75,21.1,8.7,.269,.413,.330,.144,97,103,0,
Kershaw, Clayton,2014,198.1,139,239,31,31.9,4.1,.196,.289,.230,.093,39,42,2,
Niese, Jonathon,2014,187.2,193,138,45,17.6,5.7,.268,.406,.312,.138,71,80,0,
Wood, Travis,2014,173.2,190,146,76,18.7,9.7,.277,.429,.350,.152,97,110,0,
Ross, Tyson,2014,195.2,165,195,72,24.0,8.9,.230,.327,.303,.097,61,75,0,
Hughes, Phil,2014,209.2,221,186,16,21.8,1.9,.268,.390,.283,.122,82,88,0,
Lynn, Lance,2014,203.2,185,181,72,20.9,8.3,.238,.355,.305,.117,62,72,0,
Cueto, Johnny,2014,243.2,169,242,65,25.2,6.8,.194,.313,.259,.119,61,69,1,
Noesi, Hector,2014,172.1,180,123,56,16.8,7.6,.271,.447,.325,.176,91,98,1,
Price, David,2014,248.1,230,271,38,26.9,3.8,.240,.375,.271,.135,90,100,0,
Buchholz, Clay,2014,170.1,182,132,54,17.9,7.3,.273,.416,.334,.143,101,108,0,
Scherzer, Max,2014,220.1,196,252,63,27.9,7.0,.238,.368,.293,.130,77,80,1,
Kennedy, Ian,2014,201.0,189,207,70,24.5,8.3,.250,.384,.311,.134,81,85,0,
Kendrick, Kyle,2014,199.0,214,121,57,14.0,6.6,.276,.436,.326,.160,102,108,0,
Lester, Jon,2014,219.2,194,220,48,24.9,5.4,.236,.354,.279,.118,60,76,0,
Gallardo, Yovani,2014,192.1,195,146,54,17.9,6.6,.261,.385,.310,.124,75,86,0,
Fister, Doug,2014,164.0,153,98,24,14.8,3.6,.246,.374,.278,.128,44,52,0,
Wilson, C.J.,2014,175.2,169,151,85,19.8,11.2,.258,.374,.348,.116,88,95,0,
Weaver, Jered,2014,213.1,193,169,65,19.0,7.3,.239,.385,.297,.146,85,87,0,
Vargas, Jason,2014,187.0,197,128,41,16.2,5.2,.267,.403,.309,.136,77,82,1,
Volquez, Edinson,2014,192.2,166,140,71,17.3,8.8,.235,.359,.310,.124,65,75,0,
Shields, James,2014,227.0,224,180,44,19.2,4.7,.256,.404,.297,.148,81,95,2,
Kluber, Corey,2014,235.2,207,269,51,28.3,5.4,.233,.345,.278,.112,64,72,0,
Stults, Eric,2014,176.0,197,111,45,14.5,5.9,.283,.450,.322,.167,84,93,0,
Feldman, Scott,2014,180.1,185,107,50,14.0,6.5,.266,.403,.322,.137,75,86,1,
McCarthy, Brandon,2014,200.0,222,175,33,20.9,3.9,.280,.436,.309,.156,90,100,0,
Hammel, Jason,2014,176.1,154,158,44,22.1,6.2,.235,.390,.288,.155,68,70,0,
Liriano, Francisco,2014,162.1,130,175,81,25.3,11.7,.218,.331,.311,.113,61,68,0,
Verlander, Justin,2014,206.0,223,159,65,17.8,7.3,.275,.426,.328,.151,104,114,1,
Hernandez, Felix,2014,236.0,170,248,46,27.2,5.0,.200,.303,.242,.103,56,68,0,
Hernandez, Roberto,2014,164.2,156,105,73,14.5,10.1,.250,.408,.330,.158,75,84,0,
Danks, John,2014,193.2,205,129,74,15.1,8.7,.269,.447,.337,.178,102,106,0,
Young, Chris,2014,165.0,143,108,60,15.7,8.7,.234,.431,.299,.197,67,70,1,
Kazmir, Scott,2014,190.1,171,164,50,21.1,6.4,.238,.357,.290,.119,75,81,1,
Hamels, Cole,2014,204.2,176,198,59,23.9,7.1,.235,.345,.293,.110,56,60,1,
Simon, Alfredo,2014,196.1,181,127,56,15.5,6.8,.245,.383,.304,.138,75,80,0,
Santana, Ervin,2014,196.0,193,179,63,21.9,7.7,.266,.401,.318,.135,86,90,0,
Haren, Dan,2014,186.0,183,145,36,18.7,4.6,.252,.429,.286,.177,83,101,1,
Greinke, Zack,2014,202.1,190,207,43,25.2,5.2,.247,.373,.286,.126,61,69,0,
Wainwright, Adam,2014,227.0,184,179,50,19.9,5.6,.222,.310,.268,.088,60,64,1,
Guthrie, Jeremy,2014,202.2,215,124,49,14.4,5.7,.272,.406,.322,.134,93,100,0,
Harang, Aaron,2014,204.1,215,161,71,18.4,8.1,.273,.391,.328,.118,81,88,0,
Peavy, Jake,2014,202.2,196,158,63,18.5,7.4,.258,.424,.315,.166,84,91,2,
Lewis, Colby,2014,170.1,211,133,48,17.5,6.3,.304,.488,.350,.184,98,107,1,
De La Rosa, Jorge,2014,184.1,161,139,67,18.1,8.7,.238,.394,.309,.156,84,90,0,
Lackey, John,2014,198.0,206,164,47,19.7,5.6,.265,.424,.305,.159,84,94,2,
Lohse, Kyle,2014,198.1,183,141,45,17.3,5.5,.246,.389,.289,.143,78,87,0,
Dickey, R.A.,2014,215.2,191,173,74,18.9,8.1,.233,.399,.305,.166,89,101,0,
Vogelsong, Ryan,2014,184.2,178,151,58,19.4,7.4,.254,.411,.314,.157,82,86,0,
Buehrle, Mark,2014,202.0,228,119,46,13.9,5.4,.287,.416,.324,.129,76,83,1,
Hudson, Tim,2014,189.1,199,120,34,15.2,4.3,.270,.407,.304,.137,75,86,0,
Burnett, A.J.,2014,213.2,205,190,96,20.3,10.3,.256,.404,.339,.148,109,122,0,
Colon, Bartolo,2014,202.1,218,151,30,17.8,3.5,.273,.414,.299,.141,92,97,0,
Hudson, Daniel,2011,222.0,217,169,50,18.3,5.4,.255,.394,.299,.139,86,98,1,
Porcello, Rick,2011,182.0,210,104,46,13.3,5.9,.292,.435,.337,.143,96,103,0,
Bumgarner, Madison,2011,204.2,202,191,46,22.6,5.5,.260,.366,.300,.106,73,82,1,
Holland, Derek,2011,198.0,201,162,67,19.2,7.9,.262,.398,.325,.136,87,97,1,
Cahill, Trevor,2011,207.2,214,147,82,16.3,9.1,.269,.398,.337,.129,96,102,0,
Leake, Mike,2011,167.2,159,118,38,17.0,5.5,.250,.416,.296,.166,72,74,1,
Norris, Bud,2011,186.0,177,176,70,22.1,8.8,.250,.412,.317,.162,78,93,2,
Latos, Mat,2011,194.1,168,185,62,23.2,7.8,.233,.363,.289,.130,75,82,0,
Pineda, Michael,2011,171.0,133,173,55,24.9,7.9,.211,.342,.277,.131,71,76,0,
Kuroda, Hiroki,2011,202.0,196,161,49,19.2,5.8,.254,.415,.298,.161,69,77,1,
Garza, Matt,2011,198.0,186,197,63,23.5,7.5,.245,.350,.300,.105,73,90,0,
Kershaw, Clayton,2011,233.1,174,248,54,27.2,5.9,.207,.298,.253,.091,59,66,1,
Hellickson, Jeremy,2011,189.0,146,117,72,15.1,9.3,.210,.373,.287,.163,62,64,1,
Masterson, Justin,2011,216.0,211,158,65,17.4,7.2,.257,.349,.316,.092,77,89,0,
Chacin, Jhoulys,2011,194.0,168,150,87,18.1,10.5,.231,.392,.313,.161,78,87,0,
Ogando, Alexi,2011,169.0,149,126,43,18.2,6.2,.234,.361,.287,.127,66,73,0,
Nova, Ivan,2011,165.1,163,98,57,13.9,8.1,.258,.384,.321,.126,68,74,0,
Gonzalez, Gio,2011,202.0,175,197,91,22.8,10.5,.230,.336,.317,.106,70,81,1,
Romero, Ricky,2011,225.0,176,178,80,19.4,8.7,.216,.365,.294,.149,73,85,1,
Pelfrey, Mike,2011,193.2,220,105,65,12.2,7.6,.286,.434,.340,.148,102,111,2,
Hochevar, Luke,2011,198.0,192,128,62,15.3,7.4,.252,.429,.313,.177,103,110,2,
Humber, Philip,2011,163.0,151,116,41,17.2,6.1,.243,.357,.293,.114,68,71,1,
Lannan, John,2011,184.2,194,106,76,13.1,9.4,.272,.389,.343,.117,76,90,0,
Tomlin, Josh,2011,165.1,157,89,21,13.4,3.2,.248,.438,.273,.190,78,80,0,
Volstad, Chris,2011,165.2,187,117,49,16.3,6.8,.289,.464,.330,.175,90,96,1,
Harrison, Matt,2011,185.2,180,126,57,16.3,7.4,.257,.374,.308,.117,70,79,1,
McDonald, James,2011,171.0,176,142,78,18.8,10.3,.268,.431,.346,.163,80,86,1,
Price, David,2011,224.1,192,218,63,23.7,6.9,.230,.370,.288,.140,87,93,0,
Morrow, Brandon,2011,179.1,162,203,69,26.1,8.9,.237,.391,.313,.154,94,103,1,
Lincecum, Tim,2011,217.0,176,220,86,24.4,9.6,.222,.344,.298,.122,66,74,0,
Scherzer, Max,2011,195.0,207,174,56,20.9,6.7,.272,.455,.324,.183,96,101,0,
Kennedy, Ian,2011,222.0,186,198,55,22.0,6.1,.227,.361,.278,.134,71,73,1,
Lester, Jon,2011,191.2,166,182,75,22.8,9.4,.234,.374,.315,.140,74,77,0,
Marcum, Shaun,2011,200.2,175,158,57,19.2,6.9,.232,.372,.282,.140,79,84,0,
Gallardo, Yovani,2011,207.1,193,207,59,23.9,6.8,.245,.390,.292,.145,81,92,0,
Davis, Wade,2011,184.0,190,105,63,13.2,7.9,.267,.441,.328,.174,91,96,0,
Billingsley, Chad,2011,188.0,189,152,84,18.3,10.1,.264,.386,.338,.122,88,98,0,
Fister, Doug,2011,216.1,193,146,37,16.7,4.2,.237,.339,.277,.102,68,76,1,
Wilson, C.J.,2011,223.1,191,206,74,22.5,8.1,.232,.350,.301,.118,73,89,0,
Weaver, Jered,2011,235.2,182,198,56,21.4,6.0,.212,.336,.260,.124,63,65,0,
Vargas, Jason,2011,201.0,205,131,59,15.3,6.9,.260,.398,.313,.138,95,105,1,
Morton, Charlie,2011,171.2,186,110,77,14.3,10.0,.281,.372,.359,.091,73,82,1,
Garcia, Jaime,2011,194.2,207,156,50,18.9,6.1,.273,.394,.314,.121,77,100,1,
Shields, James,2011,249.1,195,225,65,23.1,6.7,.217,.350,.272,.133,78,83,0,
Nolasco, Ricky,2011,206.0,244,148,44,16.6,4.9,.295,.440,.327,.145,107,117,0,
Karstens, Jeff,2011,162.1,163,96,33,14.4,4.9,.263,.419,.299,.156,61,69,1,
McCarthy, Brandon,2011,170.2,168,123,25,17.8,3.6,.258,.377,.280,.119,63,73,0,
Sanchez, Anibal,2011,196.1,187,202,64,24.3,7.7,.250,.398,.308,.148,80,85,5,
Rodriguez, Wandy,2011,191.0,182,166,69,20.5,8.5,.251,.420,.317,.169,74,81,0,
Hammel, Jason,2011,170.1,175,94,68,12.7,9.2,.270,.435,.337,.165,90,100,1,
Jimenez, Ubaldo,2011,188.1,186,180,78,21.9,9.5,.254,.419,.332,.165,98,111,0,
Saunders, Joe,2011,212.0,210,108,67,12.4,7.7,.266,.438,.320,.172,87,94,0,
Verlander, Justin,2011,251.0,174,250,57,25.8,5.9,.192,.313,.241,.121,67,73,2,
Hernandez, Felix,2011,233.2,218,222,67,23.0,7.0,.248,.356,.303,.108,90,99,1,
Francis, Jeff,2011,183.0,224,91,39,11.3,4.9,.301,.457,.334,.156,98,102,1,
Hernandez, Roberto,2011,188.2,205,109,60,13.1,7.2,.276,.437,.335,.161,110,125,1,
Danks, John,2011,170.1,182,135,46,18.5,6.3,.274,.427,.323,.153,82,89,0,
Stauffer, Tim,2011,185.2,180,128,53,16.5,6.8,.258,.413,.310,.155,77,81,1,
Hamels, Cole,2011,216.0,169,194,44,22.8,5.2,.214,.337,.256,.123,67,68,3,
Cain, Matt,2011,221.2,177,179,63,19.7,6.9,.217,.319,.275,.102,71,82,0,
Maholm, Paul,2011,162.1,160,97,50,14.1,7.3,.262,.390,.317,.128,66,72,0,
Santana, Ervin,2011,228.2,207,178,72,18.8,7.6,.241,.389,.302,.148,86,95,1,
Jackson, Edwin,2011,199.2,225,148,62,17.2,7.2,.290,.427,.336,.137,84,92,2,
Haren, Dan,2011,238.1,211,192,33,20.1,3.5,.235,.365,.261,.130,84,91,0,
Floyd, Gavin,2011,193.2,180,151,45,18.9,5.6,.247,.388,.296,.141,94,97,1,
Greinke, Zack,2011,171.2,161,201,45,28.1,6.3,.245,.412,.294,.167,73,82,0,
Capuano, Chris,2011,186.0,198,168,53,20.9,6.6,.270,.458,.319,.188,94,99,0,
Guthrie, Jeremy,2011,208.0,213,130,66,14.6,7.4,.267,.444,.324,.177,100,113,0,
Lee, Cliff,2011,232.2,197,238,42,25.9,4.6,.229,.339,.266,.110,62,66,0,
Harang, Aaron,2011,170.2,175,124,58,17.2,8.1,.269,.427,.328,.158,69,73,0,
Myers, Brett,2011,216.0,226,160,57,17.4,6.2,.267,.437,.313,.170,107,116,0,
Lewis, Colby,2011,200.1,187,169,56,20.1,6.7,.244,.439,.297,.195,98,103,0,
Lohse, Kyle,2011,188.1,178,111,42,14.3,5.4,.249,.390,.288,.141,71,80,0,
Dickey, R.A.,2011,208.2,202,134,54,15.3,6.2,.256,.382,.303,.126,76,85,1,
Vogelsong, Ryan,2011,179.2,164,139,61,18.5,8.1,.244,.361,.306,.117,54,62,1,
Sabathia, CC,2011,237.1,230,230,61,23.4,6.2,.255,.361,.303,.106,79,87,1,
Buehrle, Mark,2011,205.1,221,109,45,12.7,5.2,.277,.414,.312,.137,82,93,0,
Beckett, Josh,2011,193.0,146,175,52,22.8,6.8,.211,.335,.270,.124,62,65,0,
Arroyo, Bronson,2011,199.0,227,108,45,12.6,5.3,.286,.527,.325,.241,112,119,0,
Hudson, Tim,2011,215.0,189,158,56,17.9,6.3,.236,.331,.294,.095,77,86,0,
Penny, Brad,2011,181.2,222,74,62,9.2,7.7,.306,.483,.359,.177,107,117,0,
Westbrook, Jake,2011,183.1,208,104,73,12.9,9.0,.290,.435,.350,.145,95,103,0,
Lilly, Ted,2011,192.2,172,158,51,19.8,6.4,.238,.414,.290,.176,85,88,2,
Burnett, A.J.,2011,190.1,190,173,83,20.7,9.9,.260,.464,.337,.204,109,115,0,
Wolf, Randy,2011,212.1,214,134,66,14.8,7.3,.266,.415,.324,.149,87,95,1,
Halladay, Roy,2011,233.2,208,220,35,23.6,3.8,.239,.313,.265,.074,61,65,1,
Pavano, Carl,2011,222.0,262,102,40,10.7,4.2,.294,.447,.325,.153,106,123,2,
Vazquez, Javier,2011,192.2,178,162,50,20.3,6.3,.243,.398,.288,.155,79,91,0,
Dempster, Ryan,2011,202.1,211,191,82,21.7,9.3,.271,.445,.338,.174,108,111,0,
Lowe, Derek,2011,187.0,212,137,70,16.5,8.4,.285,.406,.343,.121,105,110,2,
Hernandez, Livan,2011,175.1,199,99,46,13.2,6.1,.291,.434,.333,.143,87,98,0,
Colon, Bartolo,2011,164.1,172,135,40,19.5,5.8,.267,.440,.310,.173,73,85,0,
Carpenter, Chris,2011,237.1,243,191,55,19.2,5.5,.264,.360,.305,.096,91,98,1,
Volquez, Edinson,2016,189.1,217,139,76,16.3,8.9,.286,.439,.352,.153,113,124,1,
Ventura, Yordano,2016,186.0,190,144,78,17.6,9.6,.263,.415,.338,.152,92,96,1,
Tanaka, Masahiro,2016,199.2,179,165,36,20.5,4.5,.236,.373,.271,.137,68,75,0,
Straily, Dan,2016,191.1,154,162,73,20.5,9.2,.220,.409,.301,.189,80,80,1,
Scherzer, Max,2016,228.1,165,284,56,31.5,6.2,.199,.365,.252,.166,75,77,1,
Quintana, Jose,2016,208.0,192,181,50,21.6,6.0,.246,.393,.294,.147,74,76,1,
Price, David,2016,230.0,227,228,50,24.0,5.3,.258,.420,.299,.162,102,106,0,
Perez, Martin,2016,198.2,205,103,76,12.0,8.9,.270,.404,.333,.134,97,110,2,
Moore, Matt,2016,198.1,184,178,72,21.2,8.6,.245,.380,.313,.135,90,93,1,
Lackey, John,2016,188.1,146,180,53,24.1,7.1,.218,.364,.278,.146,70,74,0,
Gray, Jon,2016,168.0,153,185,59,26.0,8.3,.243,.386,.315,.143,86,92,0,
Finnegan, Brandon,2016,172.0,150,145,84,19.8,11.4,.236,.421,.324,.185,76,86,2,
Fernandez, Jose,2016,182.1,149,253,55,34.3,7.5,.224,.336,.285,.112,58,63,1,
Verlander, Justin,2016,227.2,171,254,57,28.1,6.3,.207,.368,.261,.161,77,81,0,
Smyly, Drew,2016,175.1,174,167,49,22.6,6.6,.259,.456,.305,.197,95,103,0,
Roark, Tanner,2016,210.0,173,172,73,20.1,8.5,.228,.327,.303,.099,66,72,1,
Pineda, Michael,2016,175.2,184,207,53,27.4,7.0,.266,.462,.321,.196,94,98,0,
Maeda, Kenta,2016,175.2,150,179,50,25.0,7.0,.229,.359,.291,.130,68,72,0,
Kennedy, Ian,2016,195.2,173,184,66,22.5,8.1,.236,.413,.308,.177,80,81,0,
Ray, Robbie,2016,174.1,185,218,71,28.1,9.1,.267,.431,.338,.164,95,105,0,
Liriano, Francisco,2016,163.0,157,168,85,23.0,11.6,.252,.426,.343,.174,85,98,0,
Hendricks, Kyle,2016,190.0,142,170,44,22.8,5.9,.207,.319,.260,.112,45,53,0,
Graveman, Kendall,2016,186.0,196,108,47,13.7,6.0,.271,.415,.318,.144,85,87,0,
Davies, Zach,2016,163.1,166,135,38,19.8,5.6,.263,.418,.308,.155,72,79,0,
Bumgarner, Madison,2016,226.2,179,251,54,27.5,5.9,.213,.354,.264,.141,69,79,1,
Archer, Chris,2016,201.1,183,233,67,27.4,7.9,.238,.403,.298,.165,90,100,0,
Weaver, Jered,2016,178.0,209,103,51,13.4,6.6,.297,.517,.344,.220,100,106,2,
Samardzija, Jeff,2016,203.1,190,167,54,20.1,6.5,.249,.412,.296,.163,86,88,0,
Nova, Ivan,2016,162.0,175,127,28,18.6,4.1,.275,.465,.310,.190,75,81,0,
Nolasco, Ricky,2016,197.2,202,144,44,17.6,5.4,.267,.435,.307,.168,97,104,0,
McHugh, Collin,2016,184.2,206,177,54,22.2,6.8,.282,.456,.333,.174,89,92,0,
Koehler, Tom,2016,176.2,176,147,83,19.0,10.7,.261,.421,.341,.160,85,93,0,
Hamels, Cole,2016,200.2,185,200,77,23.6,9.1,.243,.380,.318,.137,74,83,1,
Estrada, Marco,2016,176.0,132,165,65,22.8,9.0,.203,.361,.278,.158,68,73,0,
Duffy, Danny,2016,179.2,163,188,42,25.7,5.7,.241,.419,.290,.178,70,71,0,
Dickey, R.A.,2016,169.2,169,126,63,17.3,8.7,.258,.461,.327,.203,84,97,1,
Santana, Ervin,2016,181.1,168,149,53,19.9,7.1,.245,.381,.301,.136,68,78,3,
Porcello, Rick,2016,223.0,193,189,32,21.2,3.6,.230,.367,.267,.137,78,85,0,
Lester, Jon,2016,202.2,154,197,52,24.7,6.5,.211,.334,.266,.123,55,57,0,
Gonzalez, Gio,2016,177.1,179,171,59,22.4,7.7,.262,.404,.323,.142,90,98,0,
Fiers, Mike,2016,168.2,187,134,42,18.5,5.8,.280,.474,.326,.194,84,89,0,
Eickhoff, Jerad,2016,197.1,187,167,42,20.6,5.2,.251,.446,.292,.195,80,88,2,
