last_name, first_name,year,p_formatted_ip,p_total_hits,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,p_earned_run,p_run,p_balk,
Greinke, Zack,2018,207.2,181,199,43,23.7,5.1,.231,.390,.274,.159,74,77,0,
Giolito, Lucas,2018,173.1,166,125,90,16.1,11.6,.250,.444,.350,.194,118,123,0,
Gausman, Kevin,2018,183.2,189,148,50,19.1,6.4,.264,.436,.317,.172,80,85,0,
Freeland, Kyle,2018,202.1,182,173,70,20.5,8.3,.240,.358,.306,.118,64,64,0,
Cole, Gerrit,2018,200.1,143,276,64,34.5,8.0,.198,.332,.268,.134,64,68,0,
Bauer, Trevor,2018,175.1,134,221,57,30.8,7.9,.208,.302,.279,.094,43,51,0,
deGrom, Jacob,2018,217.0,152,269,46,32.2,5.5,.196,.277,.243,.081,41,48,0,
Williams, Trevor,2018,170.2,146,126,55,18.0,7.8,.231,.364,.292,.133,59,64,0,
Shields, James,2018,204.2,190,154,78,17.7,9.0,.245,.435,.318,.190,103,115,1,
Porcello, Rick,2018,191.1,177,190,48,23.5,5.9,.241,.399,.298,.158,91,97,1,
Nola, Aaron,2018,212.1,149,224,58,27.0,7.0,.197,.311,.258,.114,56,57,1,
Gonzalez, Gio,2018,171.0,167,148,80,19.8,10.7,.256,.399,.334,.143,80,84,0,
Clevinger, Mike,2018,200.0,164,207,67,25.6,8.3,.223,.365,.290,.142,67,71,0,
Scherzer, Max,2018,220.2,150,300,51,34.6,5.9,.188,.332,.246,.144,62,66,1,
Odorizzi, Jake,2018,164.1,151,162,70,22.8,9.8,.242,.419,.322,.177,82,89,0,
Happ, J.A.,2018,177.2,150,193,51,26.3,7.0,.225,.389,.286,.164,72,81,1,
Hamels, Cole,2018,190.2,176,188,65,23.3,8.1,.246,.422,.323,.176,80,93,3,
Gonzales, Marco,2018,166.2,172,145,32,21.1,4.7,.267,.414,.306,.147,74,76,0,
Foltynewicz, Mike,2018,183.0,130,202,68,27.2,9.1,.195,.324,.274,.129,58,65,2,
Carrasco, Carlos,2018,192.0,173,231,43,29.5,5.5,.238,.384,.283,.146,72,78,0,
Berrios, Jose,2018,192.1,159,202,61,25.3,7.7,.222,.372,.292,.150,82,83,0,
Fernandez, Jose,2013,172.2,111,187,58,27.5,8.5,.182,.265,.256,.083,42,47,1,
Miller, Shelby,2013,173.1,152,169,57,23.4,7.9,.234,.371,.296,.137,59,65,0,
Corbin, Patrick,2013,208.1,189,178,54,20.7,6.3,.240,.376,.293,.136,79,81,0,
Ryu, Hyun Jin,2013,192.0,182,154,49,19.7,6.3,.252,.361,.296,.109,64,67,0,
Iwakuma, Hisashi,2013,219.2,179,185,42,21.4,4.8,.220,.371,.258,.151,65,69,0,
Strasburg, Stephen,2013,183.0,136,191,56,26.1,7.7,.207,.307,.279,.100,61,71,3,
Teheran, Julio,2013,185.2,173,170,45,22.0,5.8,.246,.398,.298,.152,66,69,0,
Zimmermann, Jordan,2013,213.1,192,161,40,18.6,4.6,.239,.375,.276,.136,77,81,0,
Sale, Chris,2013,214.1,184,226,46,26.1,5.3,.230,.354,.282,.124,73,81,1,
Porcello, Rick,2013,177.0,185,142,42,19.3,5.7,.270,.395,.313,.125,85,87,1,
Parker, Jarrod,2013,197.0,178,134,63,16.4,7.7,.242,.389,.303,.147,87,92,0,
Harvey, Matt,2013,178.1,135,191,31,27.7,4.5,.209,.282,.246,.073,45,46,0,
Gee, Dillon,2013,199.0,208,142,47,16.9,5.6,.268,.423,.312,.155,80,84,0,
Bumgarner, Madison,2013,201.1,146,199,62,24.8,7.7,.203,.307,.267,.104,62,68,0,
Darvish, Yu,2013,209.2,145,277,80,32.9,9.5,.194,.334,.277,.140,66,68,1,
Peralta, Wily,2013,183.1,187,129,73,16.1,9.1,.264,.384,.333,.120,89,107,0,
Holland, Derek,2013,213.0,210,189,64,21.1,7.2,.259,.399,.310,.140,81,90,1,
Leake, Mike,2013,192.1,193,122,48,15.2,6.0,.263,.407,.308,.144,72,78,0,
Samardzija, Jeff,2013,213.2,210,214,78,23.4,8.5,.255,.411,.324,.156,103,109,0,
Locke, Jeff,2013,166.1,146,125,84,17.6,11.8,.242,.350,.332,.108,65,69,2,
Norris, Bud,2013,176.2,196,147,67,19.0,8.7,.283,.429,.347,.146,82,89,0,
Latos, Mat,2013,210.2,197,187,58,21.2,6.6,.247,.363,.301,.116,74,82,0,
Minor, Mike,2013,204.2,177,181,46,22.1,5.6,.232,.382,.273,.150,73,79,0,
Tillman, Chris,2013,206.1,184,179,68,21.2,8.0,.241,.427,.302,.186,85,87,1,
Quintana, Jose,2013,200.0,188,164,56,19.7,6.7,.247,.395,.299,.148,78,83,1,
Kuroda, Hiroki,2013,201.1,191,150,43,18.2,5.2,.249,.392,.290,.143,74,79,0,
Miley, Wade,2013,202.2,201,147,66,17.4,7.8,.261,.404,.320,.143,80,88,0,
Cashner, Andrew,2013,175.0,151,128,47,18.1,6.6,.233,.351,.286,.118,60,68,0,
Kershaw, Clayton,2013,236.0,164,232,52,25.6,5.7,.195,.277,.241,.082,48,55,2,
Hellickson, Jeremy,2013,174.0,185,135,50,18.3,6.8,.274,.450,.324,.176,100,103,2,
Masterson, Justin,2013,193.0,156,195,76,24.3,9.5,.222,.312,.310,.090,74,75,0,
Wood, Travis,2013,200.0,163,144,66,17.5,8.0,.222,.351,.289,.129,69,73,0,
Chacin, Jhoulys,2013,197.1,188,126,61,15.4,7.5,.253,.375,.309,.122,76,82,1,
Doubront, Felix,2013,162.1,161,139,71,19.7,10.1,.261,.391,.336,.130,78,84,0,
Gonzalez, Gio,2013,195.2,169,192,76,23.4,9.3,.231,.363,.302,.132,73,79,1,
Lynn, Lance,2013,201.2,189,198,76,23.1,8.9,.252,.375,.322,.123,89,92,0,
Bailey, Homer,2013,209.0,181,199,54,23.4,6.4,.234,.369,.289,.135,81,85,2,
Griffin, A.J.,2013,200.0,171,171,54,20.8,6.6,.226,.408,.278,.182,85,91,0,
